Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2018,A HI,1113,1,21289,Understanding Art, ,,Active,Norman - Main Campus,L,200,0,200,70,0,1/16/2018,5/4/2018,DAH,128,M/W/F,1030,1120,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV NLD UFA
Spring 2018,A HI,1113,2,21291,Understanding Art,Victor K Youritzin,112111603,Active,Norman - Main Campus,L,200,0,200,90,0,1/16/2018,5/4/2018,DAH,128,M/W/F,1130,1220,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV NLD UFA
Spring 2018,A HI,2014,1,34258,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,15,0,15,0,0,1/16/2018,5/4/2018,FJC,204,F,900,1000,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,1,34258,...,...,...,...,...,,,,,,,1/16/2018,5/4/2018,FJM,B0001,T/R,1500,1630,,,,,,,,,,,,,,,,
Spring 2018,A HI,2014,2,34259,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,15,0,15,0,0,1/16/2018,5/4/2018,FJC,204,F,1030,1130,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,2,34259,...,...,...,...,...,,,,,,,1/16/2018,5/4/2018,FJM,B0001,T/R,1500,1630,,,,,,,,,,,,,,,,
Spring 2018,A HI,2014,3,34260,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,15,0,15,0,0,1/16/2018,5/4/2018,FJC,203,F,1200,1300,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,3,34260,...,...,...,...,...,,,,,,,1/16/2018,5/4/2018,FJM,B0001,T/R,1500,1630,,,,,,,,,,,,,,,,
Spring 2018,A HI,2014,4,34261,Introduction to Art History,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,15,0,15,0,0,1/16/2018,5/4/2018,FJC,204,F,1330,1430,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV LIB NLD UFA
...,A HI,2014,4,34261,...,...,...,...,...,,,,,,,1/16/2018,5/4/2018,FJM,B0001,T/R,1500,1630,,,,,,,,,,,,,,,,
Spring 2018,A HI,2223,1,21294,Global Art  II, ,,Active,Norman - Main Campus,L,60,0,60,50,0,1/16/2018,5/4/2018,FJC,205,M/W,900,1015,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,LDIV,AF,AF FA LDIV NLD UFA
Spring 2018,A HI,2970,101,30887,Chinese Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH001,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,IS LDIV NLD REEX UIS VART
Spring 2018,A HI,2970,159,30888,Contemporary Art History,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Spring 2018,A HI,2970,191,30889,Renaissance Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH091,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Spring 2018,A HI,2970,259,30891,A HI:Cartoons/Satirical Images,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Spring 2018,A HI,2970,359,30930,History of Artistic Issues,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,IS LDIV NLD REEX UIS VART
Spring 2018,A HI,3213,900,27465,Greek Art to Alexander's Death,Farland H Stanley,112115224,Active,Norman - Main Campus,L,10,0,10,10,0,1/16/2018,5/4/2018,DAH,107,M/W,1630,1745,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,AF,AF FA NUD UDIV UFA XLST
Spring 2018,A HI,3303,25,28714,Renaissance Art in Italy,Kirk Duclaux,112688716,Active,Norman - Main Campus,L,25,0,25,20,0,1/16/2018,5/11/2018,SBAREZ,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,WC,FA FCB NUD SBOU UDIV UFA WC
Spring 2018,A HI,3313,25,30914,Art and Culture in Italy,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH025,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,WC,FA NUD SPCL UD UDIV UFA WC
Spring 2018,A HI,3673,900,21302,History-Visual Communication, ,,Active,Norman - Main Campus,L,20,0,20,20,0,1/16/2018,5/4/2018,FJC,203,M/W,1800,1920,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,,FA FCB NUD UDIV UFA
Spring 2018,A HI,3833,1,34268,Intro to Native American Art,William J Rushing,112775244,Active,Norman - Main Campus,L,60,0,60,0,0,1/16/2018,5/4/2018,FJC,205,M/W,1300,1430,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,NWC,FA LIB NUD NWC UDIV UFA
Spring 2018,A HI,3980,41,32266,Honors Research       (HONORS), ,,Active,Norman - Main Campus,L,5,0,5,0,0,1/16/2018,5/11/2018,FJC,219,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA HON NUD SPCL UDIV UFA
Spring 2018,A HI,4273,900,32408,Byzantine Icons,Rozmeri Basic,112113083,Active,Norman - Main Campus,L,20,0,20,0,0,1/16/2018,5/4/2018,FJC,203,R,1700,2000,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,AF,AF FA NUD SLST UDIV UFA
Spring 2018,A HI,4463,1,32269,Issues in Northern Baroque Art,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,0,15,0,0,1/16/2018,5/4/2018,FJC,203,T/R,1500,1615,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,,FA FCB LIB NUD NUG SLST UDIV UFA
Spring 2018,A HI,4503,1,32271,Art of the 18th Century,Allison L Palmer,112112303,Active,Norman - Main Campus,L,25,0,25,0,0,1/16/2018,5/4/2018,FJC,203,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,WC,FA FCB LIB NUD SLST UDIV UFA WC
Spring 2018,A HI,4633,1,22358,Modern Art: Cezanne to 1950,Victor K Youritzin,112111603,Active,Norman - Main Campus,L,25,0,25,25,0,1/16/2018,5/4/2018,FJC,203,M/W/F,930,1020,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,WC,FA NUD SLST UDIV UFA WC
Spring 2018,A HI,4643,1,34266,Art After Modernism,Robert Bailey,113025345,Active,Norman - Main Campus,L,20,0,20,0,0,1/16/2018,5/4/2018,FJC,204,T/R,930,1045,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,WC,FA LIB NUD SLST UDIV UFA WC
Spring 2018,A HI,4693,1,34294,World Modernisms,Robert Bailey,113025345,Active,Norman - Main Campus,L,20,0,20,0,0,1/16/2018,5/4/2018,FJC,204,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,NWC,FA LIB NUD NWC SLST UDIV UFA
Spring 2018,A HI,4723,1,29067,Cinema of the American West,Alison Fields,113843772,Active,Norman - Main Campus,L,12,0,12,10,0,1/16/2018,5/4/2018,FJC,203,W,1330,1620,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,,FA NUD SLST UD UDIV UFA
Spring 2018,A HI,4753,900,21316,American West in Photography,B. Byron Price,112128334,Active,Norman - Main Campus,L,25,0,25,25,0,1/16/2018,5/4/2018,FJC,203,T,1830,2120,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,WC,FA FCB NUD SLST UDIV UFA WC
Spring 2018,A HI,4823,1,21317,20th C Amer Indian Art History,Mary J Watson,112131264,Active,Norman - Main Campus,L,25,0,25,20,0,1/16/2018,5/4/2018,FJC,205,M/W,1030,1145,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,NWC,FA FCB NUD NWC SLST UDIV UFA
Spring 2018,A HI,4853,1,21318,American Indian Women Artists,Mary J Watson,112131264,Active,Norman - Main Campus,L,12,0,12,12,0,1/16/2018,5/4/2018,FJC,204,M/W,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,NWC,FA FCB NUD NWC SLST UDIV UFA
Spring 2018,A HI,4883,20,31157,Chinese Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH020,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FCB IS NUD NWC REEX SLST UD UDIV UIS
Spring 2018,A HI,4883,101,32102,Chinese Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,1/16/2018,5/11/2018,XCH001,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FCB IS NUD NWC REEX SLST UD UDIV UIS
Spring 2018,A HI,4930,42,21328,Museum Internship,Victor K Youritzin,112111603,Active,Norman - Main Campus,S,5,0,5,0,0,1/16/2018,5/11/2018,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2018,A HI,4930,44,23388,Internship, ,,Active,Norman - Main Campus,S,0,0,0,0,0,1/16/2018,5/11/2018,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2018,A HI,4930,49,21329,Museum Internship, ,,Active,Norman - Main Campus,S,0,0,0,0,0,1/16/2018,5/11/2018,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2018,A HI,4960,40,21373,Directed Readings, ,,Active,Norman - Main Campus,L,10,0,10,0,0,1/16/2018,5/11/2018,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2018,A HI,4960,41,23111,Directed Readings,Allison L Palmer,112112303,Active,Norman - Main Campus,L,0,0,0,0,0,1/16/2018,5/11/2018,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2018,A HI,4960,42,21375,Directed Readings,Victor K Youritzin,112111603,Active,Norman - Main Campus,L,10,0,10,0,0,1/16/2018,5/11/2018,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2018,A HI,4960,43,21377,Directed Readings,Mary J Watson,112131264,Active,Norman - Main Campus,L,10,0,10,0,0,1/16/2018,5/11/2018,FJC,202,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2018,A HI,4960,44,24286,Directed Readings,Alison Fields,113843772,Active,Norman - Main Campus,L,5,0,5,0,0,1/16/2018,5/11/2018,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2018,A HI,4960,45,27730,Directed Readings,Rozmeri Basic,112113083,Active,Norman - Main Campus,L,5,0,5,0,0,1/16/2018,5/11/2018,FJC,413,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
