Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2017,A HI,3303,25,28714,Renaissance Art in Italy,Kirk Duclaux,112688716,Active,Norman - Main Campus,L,45,37,8,20,0,1/17/17,5/12/17,SBAREZ,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,WC,FA FCB NUD SBOU UDIV UFA WC
Spring 2017,A HI,3313,25,30914,Art and Culture in Italy,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH025,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,WC,FA NUD SPCL UD UDIV UFA WC
Spring 2017,A HI,3603,1,36606,American Art,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,20,17,3,0,0,1/17/17,5/5/17,FJC,204,T/R,1030,1145,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,WC,FA LIB NUD UDIV UFA WC
Spring 2017,A HI,3833,1,34268,Intro to Native American Art,William J Rushing,112775244,Active,Norman - Main Campus,L,30,30,0,0,0,1/17/17,5/5/17,FJC,205,M/W,1300,1430,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,NWC,FA LIB NUD NWC UDIV UFA
Spring 2017,A HI,3903,1,36146,"Art History,Theory & Practice",Robert Bailey,113025345,Active,Norman - Main Campus,L,17,16,1,0,0,1/17/17,5/5/17,FJC,204,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,,FA NUD UDIV UFA
Spring 2017,A HI,3980,40,37040,Honors Research       (HONORS),Robert Bailey,113025345,Active,Norman - Main Campus,L,5,1,4,0,0,1/17/17,5/12/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA HON NUD SPCL UDIV UFA
Spring 2017,A HI,3980,41,32266,Honors Research       (HONORS), ,,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,219,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA HON NUD SPCL UDIV UFA
Spring 2017,A HI,4163,900,36144,Etruscan Art,Rozmeri Basic,112113083,Active,Norman - Main Campus,L,20,18,2,0,0,1/17/17,5/5/17,FJC,203,R,1700,1940,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,WC,FA LIB NUD SLST UDIV UFA WC
Spring 2017,A HI,4463,1,32269,Issues in Northern Baroque Art,Allison L Palmer,112112303,Active,Norman - Main Campus,L,15,11,4,0,0,1/17/17,5/5/17,FJC,203,T/R,1200,1315,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,,FA FCB LIB NUD NUG SLST UDIV UFA
Spring 2017,A HI,4723,1,29067,Cinema of the American West,Alison Fields,113843772,Active,Norman - Main Campus,L,25,18,7,10,0,1/17/17,5/5/17,FJC,203,W,1330,1620,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,,FA NUD SLST UD UDIV UFA
Spring 2017,A HI,4753,900,21316,American West in Photography,B. Byron Price,112128334,Active,Norman - Main Campus,L,25,22,3,25,0,1/17/17,5/5/17,FJC,203,T,1830,2120,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,WC,FA FCB NUD SLST UDIV UFA WC
Spring 2017,A HI,4853,1,21318,American Indian Women Artists,Mary J Watson,112131264,Active,Norman - Main Campus,L,12,11,1,12,0,1/17/17,5/5/17,FJC,204,M/W,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,NWC,FA FCB NUD NWC SLST UDIV UFA
