Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Fall 2017,A HI,2970,191,31172,Renaissance Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH091,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Fall 2017,A HI,2970,259,31176,A HI:Cartoons/Satirical Images,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Fall 2017,A HI,2970,359,31177,History of Artistic Issues,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,LDIV,,FA LDIV NLD UFA VART
Fall 2017,A HI,3223,900,23825,Hellenistic Greek/Roman Art,Farland H Stanley,112115224,Active,Norman - Main Campus,L,30,0,30,0,0,8/21/17,12/8/17,DAH,107,M/W,1630,1745,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,AF,AF FA LIB NUD UDIV UFA XLST
Fall 2017,A HI,3303,25,33487,Renaissance Art in Italy,Kirk Duclaux,112688716,Active,Norman - Main Campus,L,25,0,25,0,0,8/21/17,12/15/17,SBAREZ,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,WC,FA FCB LIB NUD SBOU UDIV UFA WC
Fall 2017,A HI,3803,1,14252,Pre-Columbian Art/Architecture,Mary J Watson,112131264,Active,Norman - Main Campus,L,25,0,25,0,0,8/21/17,12/8/17,FJC,205,M/W,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,LEC,1,UDIV,NWC,FA FCB LIB NUD NWC UDIV UFA
Fall 2017,A HI,4643,1,38227,Art After Modernism, ,,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,FJC,317,T/R,1030,1145,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,WC,FA LIB NUD SLST UDIV UFA WC
Fall 2017,A HI,4743,900,14314,Amer West-Art/Photo/Pop Cultr,B. Byron Price,112128334,Active,Norman - Main Campus,L,25,0,25,30,0,8/21/17,12/8/17,FJC,203,T,1830,2120,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,AF,AF FA LIB NUD SLST UDIV UFA
Fall 2017,A HI,4883,25,31186,Chinese Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH101,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FA FCB NUD NWC SLST UDIV UFA
Fall 2017,A HI,4883,101,31187,Chinese Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH001,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FA FCB NUD NWC SLST UDIV UFA
